Hashtag,Count
[],101
['pokemonday'],45
['detectivepikachu'],37
['pokemonletsgo'],32
['pokemontcg'],27
['pokemonduel'],27
['pokemontcg',26
['pokemongo'],22
['pokemonholidaycheer'],22
['pokemonletsgogogo'],20
['playpokemon'],20
['teampikachu',20
['pokemonvalentine'],19
['pokemontheseries',18
'pokemonday'],18
['pokemontheseries'],16
['swordandshield'],16
['eevee'],15
['pokemoncenter'],13
['pokemonswordshield'],12
'pokemoncenter'],11
['pokemonletsgo',10
'teampikachu',10
['pokemongo',10
['pokemonultrasunmoon',10
['pokemonsunmoon',10
'belegendary'],10
'detectivepikachu'],10
'teameevee',10
['pokemonswordshield',6
['mondaymotivation'],6
'watchpokemon'],6
'pokemonlivetweet'],6
['firstdayofspring'],6
['detectivepikachu',6
['pokkentournamentdx',5
['wednesdaywisdom',5
['gobattle',5
'pokemonresolutions'],5
'pokemongo'],5
['pokemonvg',5
'pokemonultrasunmoon'],5
['detectivepikachumovie',5
['shiny'],5
['mondaymotivation',5
['pokemonresolutions'],4
['pokemongocommunityday'],4
['pokemonthepowerofus'],4
['tuesdaythoughts'],3
['pokemondirect'],3
['gosnapshot'],3
['pokemonhalloween'],2
['wednesdaywisdom'],2
['nationalhatday'],2
['teameevee'],2
['smashbrosultimate'],2
['pikachu'],2
['happynewyear'],2
['nationallazyday'],2
