id,name,origin_country
1569,Yash Raj Films,IN
97,Castle Rock Entertainment,US
174,Warner Bros. Pictures,US
4,Paramount,US
10211,Alfran Productions,US
3756,CoMix Wave Films,JP
5,Columbia Pictures,US
34,Sony Pictures,US
2251,Sony Pictures Animation,US
7505,Marvel Entertainment,US
84041,Pascal Pictures,US
14439,Arad Productions,
33,Universal Pictures,US
56,Amblin Entertainment,US
536,The Coppola Company,US
10342,Studio Ghibli,JP
3982,Darkwoods Productions,US
370,Melampo Cinematografica,IT
14,Miramax,US
59,A Band Apart,US
216,Jersey Films,
6735,Participant Media,US
9993,DC Entertainment,US
429,DC Comics,US
923,Legendary Entertainment,US
9996,Syncopy,GB
10717,Shamley Productions,US
508,Regency Enterprises,US
711,Fox 2000 Pictures,US
20555,Taurus Film,
54051,Atman Entertainment,
54052,Knickerbocker Films,US
25,20th Century Fox,US
4700,The Linson Company,
12,New Line Cinema,US
11,WingNut Films,NZ
5237,The Saul Zaentz Company,US
882,"Toho Company, Ltd.",JP
60,United Artists,US
10212,Orion-Nova Productions,
8880,Winkler Films,
286,Fantasy Films,
7965,The Ladd Company,US
10214,Embassy International Pictures,US
11670,Producers Sales Organization (PSO),
218,Rafran Cinematografica,
68621,St. Petersburg Clearwater Film Commission,
11446,Lereby Productions,
13969,Globo Filmes,BR
67486,Rai 3,IT
192,"Shochiku Co., Ltd.",JP
2266,Bold Films,US
3172,Blumhouse Productions,US
32157,Right of Way Films,US
87239,Gran Babieka,
18663,Zeppotron,GB
5778,Channel 4 Television,GB
5755,Constantin Film Produktion,
7508,Produzioni Europee Associati (PEA),
42498,Arturo González Producciones Cinematográficas S.A.,
1315,Charles Chaplin Productions,
16968,Vera Films S.p.a.,
71975,Roy Export Company Establishment,
3041,GAINAX,JP
3466,Movic,
21504,Star Child Recording,
3034,TV Tokyo,
5542,Toei Animation,JP
529,Production I.G,JP
1194,Kadokawa Shoten Publishing,JP
11308,Savoy Pictures,
924,The Turman-Morrissey Company,
11200,Buena Vista Home Entertainment,
11847,Mitsubishi,JP
12518,d-rights,
1780,Tohokushinsha Film Corporation,JP
12516,Nibariki,
20192,Nippon Television Network (NTV),JP
2752,DENTSU Music And Entertainment,
67681,TNDG,
1779,Tokuma Shoten,
345,O2 Filmes,BR
346,VideoFilmes,
856,Wild Bunch,FR
11444,Lumiere,
11445,Hank Levine Film,
