m_id,year_type
1,2014
2,2012
3,2016
4,2016
5,2016
6,2016
7,2016
8,2016
9,2016
10,2016
11,2016
12,2016
13,2016
14,2016
15,2016
16,2016
17,2016
18,2016
19,2016
20,2016
21,2016
22,2016
23,2016
24,2016
25,2016
26,2016
27,2015
28,2016
29,2016
30,2016
31,2016
32,2016
33,2016
34,2016
35,2016
36,2016
37,2014
38,2016
39,2016
40,2007
41,2016
42,2016
43,2016
44,2016
45,2016
46,2011
47,2016
48,2016
49,2016
50,2016
51,2015
52,2016
53,2016
54,2014
55,2008
56,2016
57,2016
58,2016
59,2016
60,2016
61,2016
62,2016
63,2016
64,2015
65,2006
66,2014
67,2016
68,2015
69,2016
70,2016
71,2016
72,2016
73,2016
74,2016
75,2016
76,2007
77,2012
78,2009
79,2006
80,2016
81,2010
82,2016
83,2013
84,2014
85,2015
86,2015
87,2016
88,2009
89,2015
90,2016
91,2013
92,2016
93,2011
94,2016
95,2015
96,2016
97,2016
98,2016
99,2016
100,2006
101,2015
102,2011
103,2015
104,2016
105,2015
106,2016
107,2016
108,2016
109,2016
110,2014
111,2016
112,2013
113,2016
114,2006
115,2011
116,2016
117,2016
118,2016
119,2016
120,2016
121,2016
122,2014
123,2016
124,2016
125,2012
126,2016
127,2014
128,2016
129,2008
130,2015
131,2016
132,2014
133,2016
134,2014
135,2013
136,2012
137,2007
138,2013
139,2010
140,2016
141,2009
142,2010
143,2015
144,2015
145,2012
146,2016
147,2016
148,2009
149,2007
150,2016
151,2016
152,2012
153,2016
154,2015
155,2014
156,2007
157,2013
158,2011
159,2010
160,2007
161,2016
162,2016
163,2014
164,2016
165,2006
166,2008
167,2016
168,2015
169,2016
170,2015
171,2014
172,2016
173,2016
174,2013
175,2013
176,2015
177,2014
178,2008
179,2016
180,2015
181,2016
182,2015
183,2015
184,2016
185,2016
186,2015
187,2016
188,2015
189,2011
190,2015
191,2016
192,2016
193,2015
194,2016
195,2011
196,2011
197,2016
198,2007
199,2014
200,2016
201,2014
202,2016
203,2016
204,2008
205,2016
206,2011
207,2016
208,2016
209,2011
210,2016
211,2015
212,2012
213,2007
214,2013
215,2013
216,2016
217,2014
218,2016
219,2016
220,2010
221,2015
222,2006
223,2014
224,2011
225,2013
226,2016
227,2015
228,2010
229,2014
230,2016
231,2006
232,2016
233,2006
234,2015
235,2016
236,2012
237,2016
238,2016
239,2014
240,2013
241,2014
242,2015
243,2016
244,2015
245,2010
246,2012
247,2006
248,2016
249,2015
250,2011
251,2016
252,2009
253,2015
254,2014
255,2013
256,2009
257,2012
258,2011
259,2016
260,2016
261,2014
262,2010
263,2014
264,2013
265,2016
266,2015
267,2016
268,2012
269,2009
270,2016
271,2012
272,2012
273,2012
274,2016
275,2016
276,2013
277,2014
278,2007
279,2016
280,2013
281,2013
282,2009
283,2007
284,2015
285,2014
286,2011
287,2016
288,2015
289,2016
290,2016
291,2016
292,2012
293,2016
294,2016
295,2013
296,2016
297,2016
298,2006
299,2016
300,2007
301,2014
302,2013
303,2012
304,2008
305,2010
306,2014
307,2016
308,2016
309,2006
310,2016
311,2009
312,2013
313,2014
314,2014
315,2007
316,2013
317,2016
318,2016
319,2015
320,2011
321,2006
322,2016
323,2008
324,2011
325,2010
326,2015
327,2015
328,2016
329,2015
330,2015
331,2016
332,2014
333,2013
334,2012
335,2013
336,2016
337,2012
338,2016
339,2014
340,2014
341,2009
342,2012
343,2013
344,2016
345,2007
346,2011
347,2007
348,2013
349,2009
350,2011
351,2016
352,2015
353,2015
354,2016
355,2015
356,2014
357,2016
358,2014
359,2013
360,2013
361,2008
362,2014
363,2013
364,2009
365,2016
366,2008
367,2012
368,2016
369,2012
370,2016
371,2016
372,2014
373,2016
374,2008
375,2016
376,2016
377,2015
378,2015
379,2016
380,2014
381,2014
382,2015
383,2016
384,2015
385,2014
386,2015
387,2015
388,2010
389,2013
390,2012
391,2016
392,2015
393,2015
394,2016
395,2013
396,2015
397,2008
398,2009
399,2015
400,2012
401,2015
402,2016
403,2008
404,2010
405,2014
406,2015
407,2012
408,2010
409,2015
410,2015
411,2008
412,2015
413,2013
414,2016
415,2016
416,2014
417,2016
418,2007
419,2010
420,2011
421,2011
422,2007
423,2016
424,2014
425,2016
426,2008
427,2014
428,2007
429,2010
430,2016
431,2009
432,2016
433,2013
434,2011
435,2016
436,2013
437,2015
438,2012
439,2013
440,2016
441,2013
442,2015
443,2009
444,2010
445,2016
446,2006
447,2012
448,2016
449,2014
450,2013
451,2010
452,2015
453,2009
454,2013
455,2011
456,2012
457,2009
458,2015
459,2011
460,2008
461,2010
462,2016
463,2016
464,2014
465,2015
466,2011
467,2010
468,2013
469,2009
470,2010
471,2007
472,2006
473,2009
474,2009
475,2012
476,2016
477,2006
478,2016
479,2016
480,2015
481,2008
482,2014
483,2016
484,2016
485,2016
486,2012
487,2007
488,2013
489,2015
490,2007
491,2010
492,2010
493,2008
494,2015
495,2013
496,2007
497,2012
498,2011
499,2009
500,2009
501,2015
502,2015
503,2016
504,2015
505,2009
506,2016
507,2012
508,2009
509,2013
510,2013
511,2008
512,2007
513,2008
514,2015
515,2015
516,2010
517,2014
518,2015
519,2013
520,2013
521,2016
522,2013
523,2016
524,2016
525,2010
526,2016
527,2013
528,2013
529,2014
530,2012
531,2006
532,2016
533,2006
534,2014
535,2016
536,2014
537,2012
538,2016
539,2016
540,2016
541,2010
542,2011
543,2016
544,2007
545,2015
546,2016
547,2016
548,2010
549,2016
550,2016
551,2006
552,2016
553,2015
554,2015
555,2015
556,2015
557,2015
558,2014
559,2015
560,2006
561,2010
562,2013
563,2012
564,2012
565,2012
566,2015
567,2011
568,2007
569,2016
570,2016
571,2014
572,2007
573,2015
574,2006
575,2016
576,2010
577,2016
578,2010
579,2013
580,2010
581,2016
582,2010
583,2014
584,2012
585,2011
586,2007
587,2014
588,2011
589,2007
590,2012
591,2009
592,2013
593,2014
594,2006
595,2015
596,2010
597,2008
598,2016
599,2009
600,2010
601,2013
602,2016
603,2009
604,2016
605,2015
606,2016
607,2010
608,2011
609,2014
610,2008
611,2013
612,2016
613,2009
614,2007
615,2013
616,2016
617,2016
618,2016
619,2015
620,2013
621,2015
622,2012
623,2009
624,2009
625,2014
626,2012
627,2006
628,2016
629,2016
630,2014
631,2010
632,2014
633,2006
634,2011
635,2008
636,2007
637,2011
638,2012
639,2014
640,2012
641,2006
642,2014
643,2015
644,2016
645,2016
646,2008
647,2015
648,2016
649,2011
650,2014
651,2007
652,2015
653,2010
654,2016
655,2016
656,2009
657,2014
658,2014
659,2007
660,2015
661,2008
662,2012
663,2007
664,2013
665,2016
666,2012
667,2015
668,2015
669,2013
670,2006
671,2013
672,2015
673,2008
674,2011
675,2016
676,2007
677,2013
678,2014
679,2015
680,2016
681,2014
682,2011
683,2016
684,2013
685,2008
686,2010
687,2008
688,2008
689,2010
690,2011
691,2012
692,2016
693,2016
694,2014
695,2012
696,2009
697,2011
698,2014
699,2007
700,2016
701,2007
702,2012
703,2010
704,2008
705,2010
706,2016
707,2011
708,2016
709,2014
710,2013
711,2009
712,2016
713,2014
714,2010
715,2007
716,2006
717,2015
718,2008
719,2014
720,2014
721,2013
722,2014
723,2010
724,2016
725,2010
726,2012
727,2011
728,2006
729,2010
730,2014
731,2013
732,2011
733,2016
734,2006
735,2016
736,2011
737,2015
738,2008
739,2015
740,2008
741,2016
742,2016
743,2009
744,2010
745,2015
746,2014
747,2016
748,2016
749,2016
750,2013
751,2007
752,2013
753,2008
754,2012
755,2016
756,2009
757,2016
758,2016
759,2011
760,2010
761,2007
762,2014
763,2015
764,2008
765,2013
766,2014
767,2013
768,2008
769,2015
770,2015
771,2008
772,2016
773,2010
774,2006
775,2006
776,2011
777,2016
778,2015
779,2016
780,2015
781,2011
782,2015
783,2007
784,2016
785,2014
786,2013
787,2016
788,2016
789,2015
790,2008
791,2015
792,2013
793,2008
794,2016
795,2012
796,2011
797,2006
798,2013
799,2014
800,2013
801,2016
802,2012
803,2007
804,2014
805,2007
806,2014
807,2010
808,2013
809,2016
810,2016
811,2015
812,2013
813,2009
814,2012
815,2009
816,2006
817,2016
818,2010
819,2014
820,2016
821,2014
822,2009
823,2009
824,2016
825,2015
826,2016
827,2016
828,2016
829,2007
830,2008
831,2006
832,2012
833,2011
834,2008
835,2012
836,2014
837,2016
838,2008
839,2016
840,2016
841,2014
842,2015
843,2011
844,2009
845,2010
846,2012
847,2015
848,2013
849,2016
850,2013
851,2008
852,2013
853,2013
854,2008
855,2008
856,2016
857,2009
858,2007
859,2006
860,2008
861,2010
862,2016
863,2014
864,2013
865,2016
866,2013
867,2016
868,2015
869,2011
870,2006
871,2015
872,2009
873,2012
874,2011
875,2010
876,2007
877,2013
878,2013
879,2013
880,2012
881,2016
882,2013
883,2014
884,2011
885,2015
886,2006
887,2011
888,2012
889,2010
890,2011
891,2016
892,2012
893,2011
894,2008
895,2008
896,2007
897,2015
898,2006
899,2009
900,2009
901,2015
902,2006
903,2013
904,2014
905,2014
906,2016
907,2015
908,2007
909,2006
910,2011
911,2015
912,2016
913,2007
914,2013
915,2009
916,2016
917,2012
918,2007
919,2006
920,2007
921,2010
922,2015
923,2009
924,2015
925,2006
926,2011
927,2009
928,2015
929,2016
930,2012
931,2011
932,2014
933,2016
934,2016
935,2016
936,2006
937,2009
938,2010
939,2016
940,2009
941,2008
942,2010
943,2016
944,2011
945,2013
946,2009
947,2013
948,2016
949,2013
950,2016
951,2015
952,2011
953,2010
954,2013
955,2008
956,2014
957,2010
958,2012
959,2014
960,2006
961,2013
962,2015
963,2008
964,2010
965,2016
966,2006
967,2016
968,2015
969,2015
970,2013
971,2013
972,2007
973,2012
974,2011
975,2016
976,2016
977,2015
978,2016
979,2016
980,2011
981,2016
982,2014
983,2007
984,2014
985,2015
986,2011
987,2011
988,2014
989,2008
990,2014
991,2009
992,2007
993,2011
994,2010
995,2012
996,2015
997,2007
998,2008
999,2014
1000,2016
